'Master Precise by Eye Studio Maybelline', 'Master Precise by Eye Studio Maybelline - Delineador - Época Cosméticos', 'http://www.epocacosmeticos.com.br/master-precise-by-eye-studio-maybelline-delineador/p'
'The Colossal Volum' Express Super Filme Maybelline', 'The Colossal Volum' Express Super Filme Maybelline - Máscara para Cílios - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-colossal-volum-express-super-filme-maybelline-mascara-para-cilios/p'
'Effaclar BB Blur La Roche Posay', 'Effaclar BB Blur La Roche Posay - Base Facial Corretiva - Época Cosméticos', 'http://www.epocacosmeticos.com.br/effaclar-bb-blur-la-roche-posay-base-facial-corretiva/p'
'Color Sensational Vermelhos Poderosos Maybelline', 'Color Sensational Vermelhos Poderosos Maybelline - Batom - Época Cosméticos', 'http://www.epocacosmeticos.com.br/color-sensational-vermelhos-poderosos-maybelline-batom/p'
'Mary Lou Manizer The Balm', 'Mary Lou Manizer The Balm - Iluminador Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/mary-lou-manizer-the-balm-iluminador-facial/p'
'Dream Cream Lola', 'Dream Cream Lola - Máscara para Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/dream-cream-lola-mascara-para-cabelos/p'
'Vintage Girls Lola Cosmetics', 'Vintage Girls Lola Cosmetics - Creme Alisante - Época Cosméticos', 'http://www.epocacosmeticos.com.br/vintage-girls-lola-cosmetics-creme-alisante/p'
'Milagre! Lola Cosmetics', 'Milagre! Lola Cosmetics - Creme para Pentear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/milagre--lola-cosmetics-creme-para-pentear/p'
'Rapunzel Lola Cosmetics', 'Rapunzel Lola Cosmetics - Shampoo Rejuvenescedor e Fortalecedor - Época Cosméticos', 'http://www.epocacosmeticos.com.br/shampoo-rejuvenescedor-lola-cosmetics-shampoo-fortalecedor/p'
'Argan Oil Lola Cosmetics', 'Argan Oil Lola Cosmetics - Óleo Anti-Frizz - Época Cosméticos', 'http://www.epocacosmeticos.com.br/argan-oil-lola-cosmetics-oleo-anti-frizz/p'
'The Original Tangle Teezer', 'The Original Tangle Teezer - Escova para os Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-original-tangle-teezer-escova-para-os-cabelos/p'
'Tratamento Nutritivo Bambu Silicon Mix', 'Tratamento Nutritivo Bambu Silicon Mix - Máscara para Cabelos Desnutridos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/tratamento-nutritivo-bambu-silicon-mix-mascara-para-cabelos-desnutridos/p'
'Penetraitt Sebastian', 'Penetraitt Sebastian - Máscara Reconstrutora para os Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/penetraitt-sebastian-mascara-reconstrutora-para-os-cabelos/p'
'Super Billion Hair Fibra Billion Hair 8g', 'Super Billion Hair Fibra Billion Hair 8g - Disfarce para a Calvície - Época Cosméticos', 'http://www.epocacosmeticos.com.br/super-billion-hair-fibra-billion-hair-8g-disfarce-para-a-calvicie/p'
'Curly Wurly Pudding Lola Cosmetics', 'Curly Wurly Pudding Lola Cosmetics - Creme para Pentear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/curly-wurly-pudding-lola-cosmetics-creme-para-pentear/p'
'Extreme Conditioner Redken', 'Extreme Conditioner Redken - Condicionador Reconstrutor - Época Cosméticos', 'http://www.epocacosmeticos.com.br/extreme-conditioner-redken-condicionador-reconstrutor/p'
'Condicionador One Condition Deva Curl', 'Condicionador One Condition Deva Curl - Condicionador Hidratante - Época Cosméticos', 'http://www.epocacosmeticos.com.br/condicionador-one-condition-deva-curl-condicionador-hidratante/p'
'Advanced Bruise Skin Renu', 'Advanced Bruise Skin Renu - Prevention Formula - Época Cosméticos', 'http://www.epocacosmeticos.com.br/advanced-bruise-skin-renu-prevention-formula/p'
'Actine Darrow', 'Actine Darrow - Esfoliante Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/actine-darrow-esfoliante-facial/p'
'Antitranspirante Perspirex Roll', 'Antitranspirante Perspirex Roll-On - Antiperspirante contra Transpiração e Odores - Época Cosméticos', 'http://www.epocacosmeticos.com.br/antiperspirante-roll-on-perspirex-tratamento-para-transpiracao-e-odores/p'
'Normalize Matte FPS 50', 'Normalize Matte FPS 50 - Ada Tina - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/normalize-matte-fps-50-ada-tina-protetor-solar/p'
'Physical Fusion Color Uv Defense SPF 50 Skinceuticals', 'Physical Fusion Color Uv Defense SPF 50 Skinceuticals - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/physical-fusion-uv-defense-spf-50-skinceuticals-protetor-solar/p'
'Anthelios Airlicium com Cor FPS 70 La Roche', 'Anthelios Airlicium com Cor FPS 70 La Roche-Posay - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/anthelios-airlicium-com-cor-fps-70-la-roche-posay-protetor-solar/p'
'Phloretin CF SkinCeuticals', 'Phloretin CF SkinCeuticals - Rejuvenescedor Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/skin-ceuticals-phloretin-cf-skinceuticals-rejuvenescedor-facial/p'
'Effaclar Gel La Roche Posay', 'Effaclar Gel La Roche Posay - Limpador Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/effaclar-gel-la-roche-posay-limpador-facial/p'
'Redermic Hyalu C Olhos La Roche Posay', 'Redermic Hyalu C Olhos La Roche Posay - Rejuvenescedor para o Contorno dos Olhos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/redermic-hyalu-c-olhos-la-roche-rejuvenescedor-para-o-contorno-dos-olhos/p'
'Eau Thermale La Roche Posay', 'Eau Thermale La Roche Posay - Água Termal - Época Cosméticos', 'http://www.epocacosmeticos.com.br/eau-thermale-de-la-roche-posay-la-roche-posay-agua-termal/p'
'Pigmentclar Serum La Roche Posay', 'Pigmentclar Serum La Roche Posay - Época Cosméticos', 'http://www.epocacosmeticos.com.br/pigmentclar-serum-la-roche-posay-tratamento-antimanchas/p'
'Pigmentclar Eyes La Roche Posay', 'Pigmentclar Eyes La Roche Posay - Tratamento para o Contorno dos Olhos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/pigmentclar-eyes-la-roche-posay-tratamento-para-o-contorno-dos-olhos/p'
'Limpador Facial Normaderm Vichy', 'Limpador Facial Normaderm Vichy - Época Cosméticos', 'http://www.epocacosmeticos.com.br/normaderm-vichy-limpador-facial/p'
'Anthelios Airlicium FPS 30 La Roche', 'Anthelios Airlicium FPS 30 La Roche-Posay - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/anthelios-airlicium-fps-30-la-roche-posay-protetor-solar/p'
'Redermic R La Roche Posay', 'Redermic R La Roche Posay - Rejuvenescedor Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/redermic-r-la-roche-posay-rejuvenescedor-facial/p'
'Anthelios Airlicium FPS 70 La Roche Posay', 'Anthelios Airlicium FPS 70 La Roche Posay - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/anthelios-airlicium-fps-70-la-roche-posay-protetor-solar/p'
'Merveillance Expert Regenerating Night Cream Nuxe Paris', 'Merveillance Expert Regenerating Night Cream Nuxe Paris - Rejuvenescedor Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/merveillance-expert-regenerating-night-cream-nuxe-paris-rejuvenescedor-facial/p'
'The Radiance Collection Cellular Radiance Concentrate Pure Gold La Prairie', 'The Radiance Collection Cellular Radiance Concentrate Pure Gold La Prairie - Soro Facial de Ação Global - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-radiance-collection-cellular-radiance-concentrate-pure-gold-la-prairie-soro-facial-de-acao-global/p'
'Dramatically Different Moisturizing Gel With Pump Clinique', 'Dramatically Different Moisturizing Gel With Pump Clinique - Gel Hidratante para Peles Mistas a Oleosas - Época Cosméticos', 'http://www.epocacosmeticos.com.br/dramatically-different-moisturizing-gel-with-pump-clinique-gel-hidratante-para-peles-mistas-a-oleosas/p'
'Bio', 'Bio-Oil - Tratamento Antiestrias 60ml - Época Cosméticos', 'http://www.epocacosmeticos.com.br/bio-oil-tratamento-antiestrias/p'
'Normalize Pore Fps 50 Ada Tina', 'Normalize Pore Fps 50 Ada Tina - Protetor Solar - Época Cosméticos', 'http://www.epocacosmeticos.com.br/normalize-pore-fps-50-ada-tina-protetor-solar-facial/p'
'Rejuvenescedor Facial Revitalift Laser X3 Noturno', 'Rejuvenescedor Facial Revitalift Laser X3 Noturno - Época Cosméticos', 'http://www.epocacosmeticos.com.br/revitalift-laser-x3-noturno-l-oreal-paris-rejuvenescedor-facial/p'
